match_id,game_creation,game_duration,game_version,queue_id,win,champion_id,champion_name,kills,deaths,assists,total_cs,cs_per_min,gold_earned,damage_dealt,vision_score,first_blood,first_blood_assist,cs_at_1min,cs_at_2min,cs_at_3min,cs_at_4min,cs_at_5min,camp_sequence,first_camp,first_camp_time,camps_cleared_by_5min,first_scuttle_time,first_gank_time,ganks_by_5min,primary_tree,keystone,rune_1,rune_2,rune_3,secondary_tree,rune_4,rune_5,stat_shard_1,stat_shard_2,stat_shard_3,summoner_1,summoner_2,item_build_order,mythic_completion_time,control_wards_bought,total_items_purchased,gold_at_5min,current_gold_at_5min,xp_at_5min,level_at_5min,damage_dealt_at_5min,damage_taken_at_5min,gold_at_10min,current_gold_at_10min,xp_at_10min,level_at_10min,cs_at_10min,damage_dealt_at_10min,damage_taken_at_10min,gold_at_15min,current_gold_at_15min,xp_at_15min,level_at_15min,cs_at_15min,damage_dealt_at_15min,damage_taken_at_15min,gold_at_20min,current_gold_at_20min,xp_at_20min,level_at_20min,cs_at_20min,damage_dealt_at_20min,damage_taken_at_20min,dragons_killed,dragons_stolen,herald_killed,baron_killed,turrets_killed,first_turret,first_dragon_time,herald_time,baron_time,wards_placed,wards_destroyed,control_wards_placed,vision_denial_score,time_top_side_pct,time_bot_side_pct,avg_position_x,avg_position_y,distance_traveled,skill_order,max_order,kill_participation_pct,solo_kills,damage_taken_total,damage_mitigated,avg_death_time,ally_top,ally_jungle,ally_mid,ally_bot,ally_support,enemy_top,enemy_jungle,enemy_mid,enemy_bot,enemy_support,team_total_kills,enemy_total_kills,team_total_gold,enemy_total_gold,enemy_jungle_kda,enemy_jungle_damage,enemy_jungle_cs,enemy_jungle_gold
KR_7907383471,1762781679278,912,15.22.724.5161,420,True,107,Rengar,7,1,6,122,8.03,8664,10293,12,False,True,0,4,16.0,20.0,32.0,,,,0,,240.07,2,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->2003@60s->1036@240s->1036@240s->3134@420s->6690@420s->3364@420s->3142@540s->1001@540s->2022@540s->6698@840s->3158@840s->2055@840s,,1,14,1843.0,643.0,1490.0,4.0,1046.0,3915.0,4403.0,553.0,3978.0,7.0,71.0,4288.0,9313.0,8639.0,1514.0,7448.0,11.0,122.0,10293.0,14394.0,,,,,,,,1,0,0,0,1,False,780.338,,,3,0,1,0,47.1,52.9,6622.1,6327.4,92283.9,Q->W->E->Q->Q->R->Q->E->Q->E->R,Q,65.0,0,14394,6656,198.2,Olaf,,Galio,Sivir,Rakan,Pantheon,Elise,Syndra,Yunara,Alistar,20,11,34658,26558,1.6,7785,75,5739
KR_7907092640,1762772928343,1590,15.22.724.5161,420,True,107,Rengar,8,3,12,234,8.83,13712,32578,26,False,False,0,4,20.0,28.0,36.0,,,,0,,,0,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->1036@300s->1036@300s->3364@300s->3134@540s->6690@540s->1036@540s->3142@540s->1001@600s->1036@600s->3077@720s->1036@720s->2055@720s->1037@840s,,3,26,1742.0,592.0,1736.0,5.0,0.0,3380.0,4224.0,314.0,4488.0,8.0,82.0,2800.0,10038.0,7130.0,285.0,7206.0,10.0,119.0,7532.0,17766.0,9543.0,1288.0,10798.0,13.0,170.0,14669.0,23806.0,4,0,0,0,0,False,420.17,,,5,6,3,6,53.6,46.4,8498.6,7853.2,172308.7,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W->R->W,Q,55.6,0,38266,26531,962.6,Aatrox,,Akshan,Ziggs,Leona,Sion,Ekko,Jayce,Corki,Poppy,36,24,60739,51018,1.67,16169,175,11920
KR_7902856354,1762531682518,1628,15.22.724.5161,420,True,107,Rengar,14,2,7,251,9.25,16078,30199,30,False,False,0,4,20.0,28.0,30.0,,,,0,,,0,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->3134@300s->3364@300s->1001@480s->1036@480s->1036@480s->3142@660s->1036@660s->1036@660s->3077@780s->2022@780s->6698@900s->3134@1080s->1036@1080s,,4,25,1578.0,128.0,1413.0,4.0,248.0,3505.0,4013.0,1563.0,4289.0,8.0,75.0,3622.0,9997.0,6456.0,51.0,7640.0,11.0,123.0,5918.0,16487.0,9837.0,278.0,12201.0,14.0,178.0,12908.0,25088.0,3,0,0,1,1,False,600.162,,1560.619,6,9,4,9,41.4,58.6,6722.2,6619.9,178977.1,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W->R->W->W,Q,55.3,2,39331,24300,875.9,Ambessa,,TwistedFate,Corki,Neeko,Yasuo,MonkeyKing,Kayle,Kaisa,Nidalee,38,26,65383,54172,1.67,16662,156,10143
KR_7902692963,1762527213438,1768,15.22.724.5161,420,True,107,Rengar,9,5,6,254,8.62,15456,27163,32,False,False,0,4,16.0,28.0,36.0,,,,0,,,0,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->2003@60s->2003@60s->3134@300s->3364@300s->1001@480s->1036@480s->1036@480s->6690@540s->3142@720s->1036@720s->3077@900s->1036@900s->6698@1020s,,2,27,1718.0,218.0,1669.0,4.0,143.0,4065.0,3445.0,520.0,3732.0,7.0,72.0,1763.0,10512.0,6081.0,926.0,7089.0,10.0,129.0,5366.0,16697.0,8934.0,1769.0,10238.0,13.0,161.0,9798.0,26541.0,4,0,0,1,3,True,420.061,,1680.547,4,8,2,8,61.3,38.7,8249.5,8436.5,183407.4,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W->R->W->W,Q,39.5,3,43822,21015,825.0,Ornn,,Azir,Yunara,Neeko,RekSai,Talon,TwistedFate,Ezreal,Rell,38,34,67091,64348,4.0,40704,208,18442
KR_7902596660,1762524769830,980,15.22.724.5161,420,True,107,Rengar,8,3,4,117,7.16,8447,11243,16,False,False,0,4,16.0,28.0,31.0,,,,0,,,0,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->2003@60s->3134@300s->1036@300s->3364@300s->6690@480s->1036@480s->1001@480s->1036@480s->3142@600s->3077@720s->3158@720s->2021@900s->3134@900s,,0,15,2134.0,284.0,1678.0,4.0,1434.0,3944.0,4037.0,82.0,3498.0,7.0,62.0,4336.0,9214.0,7689.0,119.0,6727.0,10.0,105.0,10207.0,15734.0,,,,,,,,1,0,0,0,0,True,960.319,,,2,4,0,4,50.0,50.0,8524.3,7774.6,109171.0,Q->W->E->Q->Q->R->Q->E->Q->E->R,Q,57.1,0,17528,8178,585.8,Rumble,,Taliyah,Yunara,Rakan,Gragas,LeeSin,Ryze,Lucian,Braum,21,12,37601,29704,1.4,5770,96,6212
KR_7902440732,1762520980527,2148,15.22.724.5161,420,True,107,Rengar,14,6,6,303,8.46,19493,34885,40,False,False,0,4,20.0,24.0,32.0,,,,0,,240.071,1,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->2003@60s->3134@240s->3364@240s->1036@360s->1036@360s->1001@540s->1042@540s->6690@540s->1001@540s->3142@780s->3077@780s->3134@780s->2055@780s,,3,31,1957.0,457.0,1739.0,5.0,919.0,4610.0,3870.0,935.0,4028.0,7.0,75.0,2440.0,9449.0,7014.0,524.0,7116.0,10.0,112.0,5661.0,14031.0,9924.0,209.0,12374.0,14.0,167.0,11717.0,23616.0,2,0,0,2,4,True,1140.456,,1920.726,5,8,3,8,51.4,48.6,7846.9,7555.6,195176.4,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W->R->W->W,Q,52.6,6,49740,32048,1262.4,Jax,,Aurora,Varus,Neeko,Cassiopeia,Zyra,Yone,Ezreal,Alistar,38,20,81587,71328,1.5,27810,255,13433
KR_7901243532,1762438545457,1811,15.22.723.8534,420,True,107,Rengar,8,4,7,241,7.98,14700,21595,39,False,False,0,7,20.0,28.0,36.0,,,,0,,,0,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->2003@60s->1036@240s->1036@240s->3364@240s->3134@360s->1036@360s->3142@600s->3158@720s->1036@840s->1036@840s->3077@1020s->1036@1020s->3134@1260s,,1,26,1747.0,547.0,1748.0,5.0,0.0,3726.0,3506.0,201.0,3828.0,7.0,71.0,1677.0,8589.0,5243.0,338.0,6224.0,10.0,111.0,3064.0,13856.0,7402.0,1632.0,9818.0,12.0,158.0,6208.0,23388.0,2,0,1,0,1,False,1080.339,1260.378,,2,11,0,11,65.6,34.4,8928.2,8924.7,200146.3,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W->R->W,Q,60.0,3,42710,22782,1397.6,DrMundo,,Yone,Mel,Pyke,Jayce,RekSai,Hwei,Ziggs,Bard,25,18,65365,57935,3.0,18660,187,13515
KR_7901133192,1762435520047,1186,15.22.723.8534,420,True,107,Rengar,8,2,9,168,8.5,10777,16536,14,False,False,0,4,16.0,28.0,36.0,,,,0,,240.056,1,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->2003@60s->3134@300s->3364@300s->6690@420s->1001@420s->3142@540s->2022@540s->3158@660s->1036@660s->3077@780s->1036@780s->2020@900s->6698@1020s,,1,20,1818.0,318.0,1779.0,5.0,334.0,4016.0,4518.0,668.0,4329.0,8.0,76.0,4013.0,11806.0,7169.0,82.0,7252.0,10.0,116.0,7845.0,16986.0,10777.0,647.0,11687.0,14.0,168.0,16536.0,26041.0,0,0,1,0,1,False,,960.335,,3,1,1,1,42.9,57.1,5480.2,6381.6,139681.7,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W,Q,68.0,2,26041,14485,842.8,Cassiopeia,,Ryze,Sivir,Senna,Ambessa,Ekko,Orianna,Kaisa,Poppy,25,7,43230,35794,0.62,6990,110,6771
KR_7899715831,1762344670181,922,15.22.723.1955,420,False,107,Rengar,1,3,1,78,5.08,4667,3945,8,False,False,0,4,15.0,19.0,27.0,,,,0,,,0,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->2003@60s->1036@240s->1036@240s->3134@360s->1001@420s->3364@420s->1036@600s->1036@600s->6690@660s->3142@780s->1036@780s->1036@922s->1036@922s,,0,15,1530.0,330.0,1452.0,4.0,259.0,2881.0,2825.0,325.0,3185.0,7.0,52.0,1164.0,7108.0,4622.0,672.0,5451.0,9.0,78.0,3945.0,14437.0,,,,,,,,0,0,0,0,0,False,,,,2,0,0,0,64.7,35.3,9951.5,9046.2,127319.3,Q->W->E->Q->Q->R->Q->E->Q,Q,100.0,0,14437,6089,640.9,Rumble,,Syndra,Ezreal,Taric,Gwen,Belveth,Sylas,Corki,Rell,2,13,24105,30530,8.0,8341,139,7311
KR_7899631555,1762341603104,1424,15.22.723.1955,420,True,107,Rengar,9,2,6,175,7.37,11394,15340,17,False,False,0,4,13.0,25.0,25.0,,,,0,,180.054,1,8000,8010,9111,9104,8017,8100,8105,8143,5001,5008,5005,4,11,1102@60s->3340@60s->1036@240s->1036@240s->3364@240s->3134@300s->1001@300s->6690@420s->3142@660s->1036@660s->1036@780s->1036@780s->3077@900s->3035@900s->1036@1020s,,1,20,1846.0,96.0,1357.0,4.0,278.0,3704.0,3804.0,1279.0,3892.0,7.0,67.0,1139.0,9888.0,6309.0,99.0,6835.0,10.0,109.0,4197.0,13640.0,8393.0,98.0,9072.0,12.0,135.0,9712.0,19706.0,1,0,0,0,1,False,1260.419,,,2,4,1,4,40.0,60.0,6595.3,6215.7,168653.8,Q->W->E->Q->Q->R->Q->E->Q->E->R->E->E->W->W,Q,68.2,0,24124,13392,505.3,Mordekaiser,,Orianna,Corki,Alistar,Sylas,LeeSin,KSante,Yunara,Bard,22,10,48718,39575,2.67,10193,160,8102
